"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"stromal_62","CYP1B1","F3","WISP2","COMP","GFPT2","SLC19A2","MFAP5","CILP2","ITGBL1","MAP1B","ZBTB16","SMOC2","ELL2","LTBP2","ACSL1","GPRC5A","SEMA3C","MEDAG","SLC39A14","SGK1","RASD1","FKBP5","FOXO1","SLC20A1","CPXM2","FOSL1","SPHK1","SERPINE1","TMEM119","LAMA2","DPEP1","CPZ","RASAL2","ANGPTL4","NTRK2","CLCF1","SCRG1","SVEP1","ATP13A3","PCSK5","CBLB","PLAC9","UAP1","NFATC1","NOP16","LMCD1","LIF","ADAM17","NR4A3","PRICKLE2"
"stromal_63","GAS7","METRNL","CP","MAF","ANK2","SDK1","SEMA3C","ACKR3","ADGRD1","RHOQ","TMTC1","CELF2","APCDD1","UTRN","DCLK1","FYN","JDP2","TGFBR3","ZNF385A","FAM107B","MEG8","AOX1","BOD1L1","SH3PXD2B","ARID1B","ABL1","FGL2","POLR2J3","GREM2","ADAMTS5","KLF2","AHNAK2","KREMEN1","DIAPH2","MXD4","SNED1","PBX3","QKI","PALM","MAP3K2","RAB8B","EML1","CRYBG3","MXRA7","AUTS2","TRIOBP","ADAMTSL4","FAM198B","VEGFA","SASH1"
"stromal_64","ADAMTS16","CILP2","PIEZO2","SLC12A8","WT1","DMKN","PTGDS","PTGIS","KRT19","TM4SF1","PDGFD","MMP23B","GATA6","CPE","SEZ6L2","EPYC","IQCA1","MEST","XIST","ROR1","ASS1","CD200","KRT18","ATP1B1","ALCAM","KRT8","SEMA3B","GAS1","SMOC2","COL4A5","SEMA3D","SNX10","TPD52L1","APOE","SCG2","CENPW","COPZ2","COMP","CRABP2","MSLN","CFI","RAMP1","METTL7A","C2","SGK1","RAB11FIP1","RGS4","ALDH1A3","IGFBP2","QPRT"
"stromal_65","ADAMDEC1","STMN2","TM4SF1","CXCL14","PPP1R14A","SCARA5","HAPLN1","APOE","CFD","EDIL3","ADAM28","PTGER2","PDLIM3","APOC1","CLEC3B","ABCA8","CHL1","PDK4","MYLK","RCSD1","NBPF3","FENDRR","LSP1","WARS","LMOD1","P2RY14","PTCH1","ADM","BMP5","FAM107A","POSTN","RASL11A","CMIP","HAAO","ADGRL3","SPON1","CARD16","GPX3","WNT2B","TES","PSD3","PDGFD","ADH1B","PROCR","ITGA8","GRK5","PDE4DIP","SMPDL3A","TANC1","ACKR3"
"stromal_66","OGN","ITM2A","FGL2","SFRP2","FBLN2","C3","CHRDL1","ABI3BP","IL33","CLEC3B","C16orf89","GREM1","CLU","SLIT3","SCARA5","CILP","GPNMB","DPT","CADM3","PRELP","MFAP5","GPX3","IGF1","LSP1","TGFBR3","ABLIM1","RSPO3","CD34","TNXB","ADH1B","SFRP1","PI16","FAIM2","C1QTNF3","CP","CFD","EBF1","ANGPTL1","RGMA","ABCA8","CPM","PLAC9","FAM107A","PID1","IGSF10","OSR1","BCHE","CAPN6","GPC3","TPD52L1"
"stromal_68","GINS2","MCM5","MCM7","CENPK","TK1","HELLS","CLSPN","TYMS","MCM4","STMN1","UHRF1","ZWINT","PCLAF","CENPU","CENPW","MCM2","TCF19","MCM6","FEN1","UBE2T","ATAD2","CKS1B","MAD2L1","GGH","CENPH","PCNA","DHFR","SMC2","PSMC3IP","GMNN","DSN1","CENPM","RFC4","E2F1","ORC6","NR2C2AP","RRM1","CHEK1","TMEM106C","CDC6","LMNB1","RNASEH2A","BRCA1","CHAF1A","LIG1","RPA3","WDR76","CCDC34","DNMT1","DTL"
"stromal_73","CD79A","NCF1","RGS1","CD53","CD37","RAC2","CYTIP","MZB1","RNASET2","CD27","DERL3","LSP1","POU2AF1","CD52","HLA.DQA1","POU2F2","RHOH","CORO1A","UCP2","CD44","STK17B","JCHAIN","CD48","PTPRC","CXCR4","VAMP8","BCL2A1","TAGAP","GPSM3","HSH2D","EVI2B","CD79B","SLAMF7","GPR183","SMAP2","ST6GAL1","FCRL5","ACP5","MS4A1","PTPN6","SYK","ALOX5AP","IGHA2","GNG7","IGHG1","ACAP1","ICAM3","EAF2","PLEK","CD83"
"stromal_78","CYTIP","CD48","UCP2","RAC2","IL7R","PTPRC","CD37","TAGAP","CD69","RGS1","ARHGDIB","CD53","LSP1","SRGN","CORO1A","IKZF1","SKAP1","CD52","IL10RA","CXCR4","ITGB2","CELF2","LAPTM5","KLRB1","ISG20","CD3E","RHOH","SYTL3","TRAF3IP3","BIN2","CD27","CD6","FYB1","HCLS1","PTK2B","HLA.DRB5","NCF1","DEF6","PIM2","LTB","CD3D","LY9","SPOCK2","RHOF","TRBC2","EVL","DOCK8","GPSM3","VAMP8","FCMR"
"stromal_80","TYMS","PCLAF","TK1","BIRC5","NUSAP1","ZWINT","TOP2A","MKI67","CENPF","FOXM1","PTTG1","UBE2C","CENPK","CDK1","TPX2","PBK","MAD2L1","ASPM","CENPW","CDKN3","CENPU","DHFR","CENPM","ANLN","GTSE1","CLSPN","RRM2","CEP55","RAD51AP1","UBE2T","CCNA2","DLGAP5","SHCBP1","PRC1","CENPN","UHRF1","GGH","KIF20B","CCNB2","TCF19","HELLS","LMNB1","CDC20","DIAPH3","CENPH","MYBL2","PHF19","TACC3","CKS1B","AURKB"
"stromal_85","PCLAF","TK1","BIRC5","TYMS","PTTG1","CENPW","UBE2C","STMN1","CDKN3","MAD2L1","RRM2","CENPF","MKI67","CKS1B","TOP2A","NUSAP1","ZWINT","PBK","CENPN","CENPK","FOXM1","TPX2","CCNB2","CENPM","CDK1","GGH","CKS2","UBE2T","HMGB3","SPC25","CDC20","GTSE1","DHFR","TROAP","CENPH","MYBL2","TMEM106C","SMC4","CCNB1","UBE2S","DTYMK","SMC2","MCM7","CEP55","SHCBP1","AURKB","PRC1","ANLN","PHF19","HMMR"
